,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
86,0,0,0,0.0,0,0.0,244,79,27.11,130.48,12,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,13218,5,13704,80.39,3,50.0,39,20,9.75,73.58,1,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
88,13,6,163,62.69,34,45.1,67,28,22.33,104.69,1,527,13,40.54,7.42,32.77,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
89,710,13,3525,92.71,16,61.9,2254,98,33.64,139.39,97,678,20,33.9,7.05,28.9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
90,1269,5,1100,89.72,11,34.8,604,86,21.57,131.88,19,303,8,37.88,7.73,29.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,74,0,4,80.0,0,0.0,372,59,28.62,128.28,16,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
92,9382,0,10472,75.75,0,0.0,1567,94,27.98,124.76,27,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
93,5842,23,5644,75.76,16,36.3,73,31,18.25,97.33,1,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
94,8178,40,8090,104.68,95,45.4,1879,119,30.31,167.32,79,226,6,37.67,10.56,21.67,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
95,1716,48,7040,113.87,344,43.4,81,33,10.12,176.08,6,225,9,25.0,7.5,20.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
96,432,133,47,34.05,64,33.6,37,9,9.25,80.43,1,1176,36,32.67,7.63,23.61,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
97,0,0,35,116.66,1,150.0,36,16,9.0,120.0,2,419,12,34.92,9.88,21.33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,0,0,1961,78.85,8,59.1,1975,109,31.35,129.17,82,408,14,29.14,8.0,21.86,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
99,544,178,394,73.23,247,31.4,2,2,2.0,28.57,0,54,5,10.8,7.71,8.4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
100,1606,21,5253,78.37,139,47.6,52,24,13.0,110.63,0,85,2,42.5,10.0,25.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
101,537,1,1587,70.4,1,42.0,40,23,20.0,153.84,1,21,0,0.0,21.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
